Year,Value,Series
2015,41,Debt Ratio to GDP (%)
2016,51,Debt Ratio to GDP (%)
2017,59,Debt Ratio to GDP (%)
2018,63,Debt Ratio to GDP (%)
2019,66,Debt Ratio to GDP (%)
2020,72,Debt Ratio to GDP (%)
2021,73,Debt Ratio to GDP (%)
2022,71,Debt Ratio to GDP (%)
2015,25284,Debt (million vatu)
2016,32288,Debt (million vatu)
2017,39486,Debt (million vatu)
2018,42762,Debt (million vatu)
2019,46458,Debt (million vatu)
2020,48274,Debt (million vatu)
2021,47968,Debt (million vatu)
2022,49445,Debt (million vatu)
2015,61500,GDP Constant (million vatu)
2016,63635,GDP Constant (million vatu)
2017,66443,GDP Constant (million vatu)
2018,68370,GDP Constant (million vatu)
2019,70586,GDP Constant (million vatu)
2020,67062,GDP Constant (million vatu)
2021,66021,GDP Constant (million vatu)
2022,69445,GDP Constant (million vatu)
