Year,Value,Units,Series
2006,2.2,Percent,Annual Growth Rate of Subsistence/Custom/Traditional Agriculture Constant Price (PROXY)
2007,2.4,Percent,Annual Growth Rate of Subsistence/Custom/Traditional Agriculture Constant Price (PROXY)
2008,2.4,Percent,Annual Growth Rate of Subsistence/Custom/Traditional Agriculture Constant Price (PROXY)
2009,2.4,Percent,Annual Growth Rate of Subsistence/Custom/Traditional Agriculture Constant Price (PROXY)
2010,2.4,Percent,Annual Growth Rate of Subsistence/Custom/Traditional Agriculture Constant Price (PROXY)
2011,2.4,Percent,Annual Growth Rate of Subsistence/Custom/Traditional Agriculture Constant Price (PROXY)
2012,2.4,Percent,Annual Growth Rate of Subsistence/Custom/Traditional Agriculture Constant Price (PROXY)
2013,2.4,Percent,Annual Growth Rate of Subsistence/Custom/Traditional Agriculture Constant Price (PROXY)
2014,2.4,Percent,Annual Growth Rate of Subsistence/Custom/Traditional Agriculture Constant Price (PROXY)
2009,44.3,Percent,Proportion of Population age 15+ Engaged in Household Production for Own Consumption (PROXY)
2007,38879.0,Total,Total Households Engaged in Agricultural Activities (PROXY)
