Year,Series,Budget Series,Ministry,Department,Activity,Units,Value
2020,By Ministry,Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),4.210801
2020,By Ministry,Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),701.20285
2020,By Ministry,Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),8.21087
2020,By Ministry,Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),4.631338
2020,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),7.25
2020,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),81.732419
2020,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),127.985356
2020,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),3.2
2020,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),58.004288
2020,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),10.826862
2020,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),3.02
2020,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),39.624206
2020,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),44.133286
2020,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),78.345084
2020,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),18.632976
2020,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),270.946356
2020,By Ministry,Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),80.73653
2020,By Ministry,Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),10.572484
2020,By Ministry,Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),422.5448
2020,By Ministry,Budget,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),2.62762
2020,By Ministry,Budget,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),10.384377
2020,By Ministry,Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),231.415288
2020,By Ministry,Budget,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),88.370259
2020,By Ministry,Budget,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),51.008992
2020,By Ministry,Budget,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),144.982403
2021,By Ministry,Actual,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),8.284594
2021,By Ministry,Actual,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),0.11075
2021,By Ministry,Actual,Constitutional Agencies,Judiciary,,Value in Millions (VT),62.339423
2021,By Ministry,Actual,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),20.29814
2021,By Ministry,Actual,Constitutional Agencies,National Audit Office,,Value in Millions (VT),4.228738
2021,By Ministry,Actual,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),5.147871
2021,By Ministry,Actual,Constitutional Agencies,Parliament,,Value in Millions (VT),469.526495
2021,By Ministry,Actual,Constitutional Agencies,President of the Republic,,Value in Millions (VT),25.23547
2021,By Ministry,Actual,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),9.921681
2021,By Ministry,Actual,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),42.308371
2021,By Ministry,Actual,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),3.177836
2021,By Ministry,Actual,Constitutional Agencies,State Law Office,,Value in Millions (VT),14.979593
2021,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),109.765054
2021,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),88.107795
2021,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),-25.056074
2021,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),90.860827
2021,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),19.428827
2021,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),101.852728
2021,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Parliament Secretariat - Ministry of Agriculture,,Value in Millions (VT),-0.05922
2021,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),2.520469
2021,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,,Value in Millions (VT),9.820139
2021,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),105.755988
2021,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),11.693659
2021,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,,Value in Millions (VT),13.407975
2021,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),8.895149
2021,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),18.175328
2021,By Ministry,Actual,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,Ministry of Ni-Vanuatu Business Development & Coops Cabinet,,Value in Millions (VT),-0.06635
2021,By Ministry,Actual,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),5.464223
2021,By Ministry,Actual,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),62.617908
2021,By Ministry,Actual,Ministry of Education & Training,Education Service Directorate,,Value in Millions (VT),1337.83827
2021,By Ministry,Actual,Ministry of Education & Training,Finance & Administration Directorate,,Value in Millions (VT),101.426841
2021,By Ministry,Actual,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),4.560271
2021,By Ministry,Actual,Ministry of Education & Training,Policy & Planning Directorate,,Value in Millions (VT),2.720263
2021,By Ministry,Actual,Ministry of Education & Training,Tertiary Education Directorate,,Value in Millions (VT),646.18688
2021,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),84.268181
2021,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),5902.007413
2021,By Ministry,Actual,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),9.901445
2021,By Ministry,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),56.869753
2021,By Ministry,Actual,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),67.191955
2021,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),1.804987
2021,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),75.829201
2021,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),11.446675
2021,By Ministry,Actual,Ministry of Health,Department of Health,,Value in Millions (VT),404.75796
2021,By Ministry,Actual,Ministry of Health,Health Cabinet,,Value in Millions (VT),8.7363
2021,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),46.587469
2021,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),50.586721
2021,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),506.527954
2021,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),35.795552
2021,By Ministry,Actual,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),6.748586
2021,By Ministry,Actual,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),70.770454
2021,By Ministry,Actual,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),11.529266
2021,By Ministry,Actual,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),443.199054
2021,By Ministry,Actual,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),54.513542
2021,By Ministry,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),25.211323
2021,By Ministry,Actual,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),0.580315
2021,By Ministry,Actual,Ministry of Internal Affairs,Vanuatu Mobile Force,,Value in Millions (VT),11.861299
2021,By Ministry,Actual,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),80.121869
2021,By Ministry,Actual,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),28.342951
2021,By Ministry,Actual,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),24.534749
2021,By Ministry,Actual,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),3.642434
2021,By Ministry,Actual,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),9.67664
2021,By Ministry,Actual,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),2.531646
2021,By Ministry,Actual,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),3.00763
2021,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),2.542792
2021,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),29.426998
2021,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),42.589348
2021,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),1.629539
2021,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),3.371005
2021,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),6.311618
2021,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),6.573397
2021,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Cooperatives Development,,Value in Millions (VT),46.581622
2021,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,,Value in Millions (VT),-0.349195
2021,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),45.935136
2021,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),45.265964
2021,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Intellectual Property Development and Protection,,Value in Millions (VT),9.515123
2021,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),13.797275
2021,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",National Standards Development,,Value in Millions (VT),36.850516
2021,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),26.219283
2021,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade Development Division,,Value in Millions (VT),25.008138
2021,By Ministry,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),56.348572
2021,By Ministry,Actual,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),4.095022
2021,By Ministry,Actual,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),16.888006
2021,By Ministry,Actual,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),1.723038
2021,By Ministry,Actual,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),1.323257
2021,By Ministry,Actual,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),139.115883
2021,By Ministry,Actual,Prime Ministers Ministry,Parliamentary Secretariat,,Value in Millions (VT),-1.122869
2021,By Ministry,Actual,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),47.541574
2021,By Ministry,Actual,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),37.310194
2021,By Ministry,Actual,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),15.279696
2021,By Ministry,Budget,Constitutional Agencies,Citizenship Office,,Value in Millions (VT),18.516926
2021,By Ministry,Budget,Constitutional Agencies,Judicial Services Commission,,Value in Millions (VT),1.914514
2021,By Ministry,Budget,Constitutional Agencies,Judiciary,,Value in Millions (VT),99.006048
2021,By Ministry,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,,Value in Millions (VT),30.816818
2021,By Ministry,Budget,Constitutional Agencies,National Audit Office,,Value in Millions (VT),28.11983
2021,By Ministry,Budget,Constitutional Agencies,Office of the Ombudsman,,Value in Millions (VT),7.835751
2021,By Ministry,Budget,Constitutional Agencies,Parliament,,Value in Millions (VT),684.514781
2021,By Ministry,Budget,Constitutional Agencies,President of the Republic,,Value in Millions (VT),32.002143
2021,By Ministry,Budget,Constitutional Agencies,Public Prosecutor,,Value in Millions (VT),25.648222
2021,By Ministry,Budget,Constitutional Agencies,Public Service Commission,,Value in Millions (VT),119.960944
2021,By Ministry,Budget,Constitutional Agencies,Public Solicitor,,Value in Millions (VT),10.56539
2021,By Ministry,Budget,Constitutional Agencies,State Law Office,,Value in Millions (VT),25.223363
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",,Value in Millions (VT),107.50432
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,,Value in Millions (VT),441.211669
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,,Value in Millions (VT),76.53198
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,,Value in Millions (VT),312.230446
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,,Value in Millions (VT),158.775161
2021,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,,Value in Millions (VT),387.822868
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",,Value in Millions (VT),6.111512
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Department of Climate Change,,Value in Millions (VT),16.286891
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,,Value in Millions (VT),126.813609
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,,Value in Millions (VT),26.262681
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",MoCC Coporate Service Unit,,Value in Millions (VT),58.658661
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,,Value in Millions (VT),18.638911
2021,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,,Value in Millions (VT),33.909
2021,By Ministry,Budget,Ministry of Education & Training,Director General Directorate,,Value in Millions (VT),848.371798
2021,By Ministry,Budget,Ministry of Education & Training,Education Commissions and Councils,,Value in Millions (VT),101.56137
2021,By Ministry,Budget,Ministry of Education & Training,Education Service Directorate,,Value in Millions (VT),1571.031285
2021,By Ministry,Budget,Ministry of Education & Training,Finance & Administration Directorate,,Value in Millions (VT),172.127109
2021,By Ministry,Budget,Ministry of Education & Training,MoE Cabinet,,Value in Millions (VT),10.928562
2021,By Ministry,Budget,Ministry of Education & Training,Policy & Planning Directorate,,Value in Millions (VT),8.306706
2021,By Ministry,Budget,Ministry of Education & Training,Tertiary Education Directorate,,Value in Millions (VT),644.266063
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,,Value in Millions (VT),216.213737
2021,By Ministry,Budget,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Value in Millions (VT),7808.107121
2021,By Ministry,Budget,Ministry of Finance and Economic Management,MFEM Cabinet,,Value in Millions (VT),24.969542
2021,By Ministry,Budget,Ministry of Finance and Economic Management,MFEM Corporate Services,,Value in Millions (VT),160.551129
2021,By Ministry,Budget,Ministry of Finance and Economic Management,National Statistics Office,,Value in Millions (VT),74.438453
2021,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",,Value in Millions (VT),15.570785
2021,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,,Value in Millions (VT),233.04394
2021,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,,Value in Millions (VT),29.601555
2021,By Ministry,Budget,Ministry of Health,Department of Health,,Value in Millions (VT),794.720207
2021,By Ministry,Budget,Ministry of Health,Health Cabinet,,Value in Millions (VT),15.242308
2021,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,,Value in Millions (VT),77.487386
2021,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,,Value in Millions (VT),112.247905
2021,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,Department of Public Works,,Value in Millions (VT),3301.251841
2021,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,,Value in Millions (VT),108.602687
2021,By Ministry,Budget,Ministry of Internal Affairs,Civil Registry Office,,Value in Millions (VT),11.034789
2021,By Ministry,Budget,Ministry of Internal Affairs,Department of Immigration,,Value in Millions (VT),70.807584
2021,By Ministry,Budget,Ministry of Internal Affairs,Department of Labour,,Value in Millions (VT),18.722911
2021,By Ministry,Budget,Ministry of Internal Affairs,Department of Provincial Affairs,,Value in Millions (VT),523.520436
2021,By Ministry,Budget,Ministry of Internal Affairs,Electoral Office,,Value in Millions (VT),81.946687
2021,By Ministry,Budget,Ministry of Internal Affairs,Internal Affairs Cabinet,,Value in Millions (VT),50.800617
2021,By Ministry,Budget,Ministry of Internal Affairs,Police Service Commission,,Value in Millions (VT),2.345317
2021,By Ministry,Budget,Ministry of Internal Affairs,Vanuatu Mobile Force,,Value in Millions (VT),24.315
2021,By Ministry,Budget,Ministry of Internal Affairs,Vanuatu Police Force,,Value in Millions (VT),255.929477
2021,By Ministry,Budget,Ministry of Justice and Social Welfare,Correctional Services,,Value in Millions (VT),59.687476
2021,By Ministry,Budget,Ministry of Justice and Social Welfare,Customary land management Office,,Value in Millions (VT),23.315148
2021,By Ministry,Budget,Ministry of Justice and Social Welfare,Department of Womens Affairs,,Value in Millions (VT),6.335287
2021,By Ministry,Budget,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,,Value in Millions (VT),28.444405
2021,By Ministry,Budget,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,,Value in Millions (VT),4.871712
2021,By Ministry,Budget,Ministry of Justice and Social Welfare,Vanuatu Law Commission,,Value in Millions (VT),16.923434
2021,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,,Value in Millions (VT),4.0
2021,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Corporate Services,,Value in Millions (VT),46.1
2021,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,,Value in Millions (VT),58.38976
2021,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Records,,Value in Millions (VT),3.0
2021,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,,Value in Millions (VT),3.5
2021,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Department of Lands,,Value in Millions (VT),13.398468
2021,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",Valuer General,,Value in Millions (VT),3.0
2021,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Commerce Development,,Value in Millions (VT),168.0
2021,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Cooperatives Development,,Value in Millions (VT),165.691067
2021,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,,Value in Millions (VT),85.571789
2021,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,,Value in Millions (VT),123.264403
2021,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Intellectual Property Development and Protection,,Value in Millions (VT),16.587813
2021,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",,Value in Millions (VT),19.363455
2021,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",National Standards Development,,Value in Millions (VT),198.415732
2021,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,,Value in Millions (VT),44.471232
2021,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade Development Division,,Value in Millions (VT),154.743934
2021,By Ministry,Budget,Ministry of Youth Development and Sports,Department of Youth and Sport,,Value in Millions (VT),115.091391
2021,By Ministry,Budget,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,,Value in Millions (VT),6.93
2021,By Ministry,Budget,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Value in Millions (VT),34.637397
2021,By Ministry,Budget,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),,Value in Millions (VT),2.24794
2021,By Ministry,Budget,Prime Ministers Ministry,Language Services Department,,Value in Millions (VT),5.579024
2021,By Ministry,Budget,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),,Value in Millions (VT),222.149228
2021,By Ministry,Budget,Prime Ministers Ministry,PMO Corporate Service Unit,,Value in Millions (VT),120.494672
2021,By Ministry,Budget,Prime Ministers Ministry,Prime Ministers Cabinet,,Value in Millions (VT),46.57219
2021,By Ministry,Budget,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),,Value in Millions (VT),103.371418
2010,By Ministry,Actual,Constitutional Agencies,Citizenship Office,Citizenship Commission,Value in Millions (VT),0.836471
2010,By Ministry,Actual,Constitutional Agencies,Judicial Services Commission,Administrative Support Services,Value in Millions (VT),0.531866
2010,By Ministry,Actual,Constitutional Agencies,Judicial Services Commission,Decision Making,Value in Millions (VT),0.344
2010,By Ministry,Actual,Constitutional Agencies,Judiciary,Corporate Services,Value in Millions (VT),18.729245
2010,By Ministry,Actual,Constitutional Agencies,Judiciary,Court of Appeal,Value in Millions (VT),16.046724
2010,By Ministry,Actual,Constitutional Agencies,Judiciary,Enforcement,Value in Millions (VT),0.863669
2010,By Ministry,Actual,Constitutional Agencies,Judiciary,Island Courts,Value in Millions (VT),9.635462
2010,By Ministry,Actual,Constitutional Agencies,Judiciary,Judicial Development & Training,Value in Millions (VT),5.27601
2010,By Ministry,Actual,Constitutional Agencies,Judiciary,Land Courts,Value in Millions (VT),7.415
2010,By Ministry,Actual,Constitutional Agencies,Judiciary,Magistrate Courts,Value in Millions (VT),6.7019
2010,By Ministry,Actual,Constitutional Agencies,Judiciary,Supreme Court,Value in Millions (VT),25.069125
2010,By Ministry,Actual,Constitutional Agencies,Malvatumauri Council of Chiefs,Administration of the National Council of Chiefs,Value in Millions (VT),12.80996
2010,By Ministry,Actual,Constitutional Agencies,Malvatumauri Council of Chiefs,Funds for 14 Islands Council of Chiefs,Value in Millions (VT),2.1
2010,By Ministry,Actual,Constitutional Agencies,National Audit Office,Audit Operations,Value in Millions (VT),3.03728
2010,By Ministry,Actual,Constitutional Agencies,National Audit Office,Corporate Services,Value in Millions (VT),5.269288
2010,By Ministry,Actual,Constitutional Agencies,National Audit Office,"Planning, Policy & Standards",Value in Millions (VT),0.776645
2010,By Ministry,Actual,Constitutional Agencies,Office of the Ombudsman,"Planning, Management and Investigations",Value in Millions (VT),14.499402
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Committee of the Standing Orders,Value in Millions (VT),2.226135
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Committee on Economic Policy,Value in Millions (VT),2.76707
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Committee on Institutions,Value in Millions (VT),0.87422
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Committee on Parliamentary Privileges and Immunities,Value in Millions (VT),1.111843
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Committee on Social Policy,Value in Millions (VT),1.150975
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Committee on the Public Accounts,Value in Millions (VT),4.64751
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Financial Management,Value in Millions (VT),0.054
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Inter-Parliamentary Relations,Value in Millions (VT),8.721325
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Library and Archives,Value in Millions (VT),0.800709
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Members Allocation,Value in Millions (VT),115.498135
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Office of the Leader of the Opposition,Value in Millions (VT),0.148
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Parliamentary Reporting,Value in Millions (VT),1.160992
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Personnel Administration and Maintenance,Value in Millions (VT),13.21066
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Procedure and Legislative Affairs,Value in Millions (VT),225.470297
2010,By Ministry,Actual,Constitutional Agencies,Parliament,Security and Protocol,Value in Millions (VT),0.295245
2010,By Ministry,Actual,Constitutional Agencies,President of the Republic,Management of the State House and President,Value in Millions (VT),18.058481
2010,By Ministry,Actual,Constitutional Agencies,Public Prosecutor,Corporate Services,Value in Millions (VT),2.733518
2010,By Ministry,Actual,Constitutional Agencies,Public Prosecutor,Institute Criminal Proceedings,Value in Millions (VT),9.535092
